source,output,rows,first_ts
data\BTC_USDT\BTC_USDT__15m__20251009_235416.csv,data/processed\BTC_USDT__15m__20251009_235416.parquet,500,2025-10-04 19:00:00
data\BTC_USDT\BTC_USDT__15m__20251010_000425.csv,data/processed\BTC_USDT__15m__20251010_000425.parquet,500,2025-10-04 19:15:00
data\BTC_USDT\BTC_USDT__1h__20251010_000429.csv,data/processed\BTC_USDT__1h__20251010_000429.parquet,500,2025-09-19 05:00:00
data\BTC_USDT\BTC_USDT__1m__20251009_235409.csv,data/processed\BTC_USDT__1m__20251009_235409.parquet,500,2025-10-09 15:35:00
data\BTC_USDT\BTC_USDT__1m__20251010_000416.csv,data/processed\BTC_USDT__1m__20251010_000416.parquet,500,2025-10-09 15:45:00
data\BTC_USDT\BTC_USDT__5m__20251009_235413.csv,data/processed\BTC_USDT__5m__20251009_235413.parquet,500,2025-10-08 06:15:00
data\BTC_USDT\BTC_USDT__5m__20251010_000420.csv,data/processed\BTC_USDT__5m__20251010_000420.parquet,500,2025-10-08 06:25:00
data\ETH_USDT\ETH_USDT__15m__20251010_000442.csv,data/processed\ETH_USDT__15m__20251010_000442.parquet,500,2025-10-04 19:15:00
data\ETH_USDT\ETH_USDT__1h__20251010_000447.csv,data/processed\ETH_USDT__1h__20251010_000447.parquet,500,2025-09-19 05:00:00
data\ETH_USDT\ETH_USDT__1m__20251010_000434.csv,data/processed\ETH_USDT__1m__20251010_000434.parquet,500,2025-10-09 15:45:00
data\ETH_USDT\ETH_USDT__5m__20251010_000438.csv,data/processed\ETH_USDT__5m__20251010_000438.parquet,500,2025-10-08 06:25:00
