file,rows,cols,missing_ratio,rsi_mean,macd_mean,return_std
BTC_USDT__15m.parquet,500,17,0.0,51.39889466045518,-7.65960051410069,0.001872588050075576
BTC_USDT__15m__20251009_235416.parquet,500,17,0.0,51.143976834842846,-7.55773195381451,0.0018726063731172014
BTC_USDT__15m__20251010_000425.parquet,500,17,0.0,51.39889466045518,-7.65960051410069,0.001872588050075576
BTC_USDT__1h.parquet,500,17,0.0,50.47868110233563,70.89382860435059,0.003251290892124792
BTC_USDT__1h__20251010_000429.parquet,500,17,0.0,50.47868110233563,70.89382860435059,0.003251290892124792
BTC_USDT__1m.parquet,500,17,0.0,55.00057597773056,10.54412785860055,0.0004550011826201825
BTC_USDT__1m__20251009_235409.parquet,500,17,0.0,52.48744528668105,7.982364165714622,0.0004575867779945159
BTC_USDT__1m__20251010_000416.parquet,500,17,0.0,55.00057597773056,10.54412785860055,0.0004550011826201825
BTC_USDT__5m.parquet,500,17,0.0,51.42084605956892,0.7950752924571861,0.0010812843765318774
BTC_USDT__5m__20251009_235413.parquet,500,17,0.0,52.25401617439582,1.2359301943203318,0.0010812734303250466
BTC_USDT__5m__20251010_000420.parquet,500,17,0.0,51.42084605956892,0.7950752924571861,0.0010812843765318774
data__unknown.parquet,7,22,0.0,50.0,0.0,0.0
ETH_USDT__15m__20251010_000442.parquet,500,17,0.0,49.446064896098235,-1.6750724321144772,0.002755126326484067
ETH_USDT__1h__20251010_000447.parquet,500,17,0.0,47.99641356714277,-1.9138869433998433,0.005561500587709274
ETH_USDT__1m__20251010_000434.parquet,500,17,0.0,54.72182336375291,0.9042272879428911,0.0006935197347520695
ETH_USDT__5m__20251010_000438.parquet,500,17,0.0,49.07553017645208,-1.1232664703491901,0.001595851321191467
